;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
€нварь;102,33;102,76;103,09;102,40;101,75;102,62;102,43;101,68;102,31;102,37;101,64;102,37;100,50;100,97;100,59;103,85;100,96;100,62;100,31;101,01;100,40;100,67;100,99
февраль;101,04;102,28;101,16;101,63;100,99;101,23;101,66;101,11;101,20;101,65;100,86;100,78;100,37;100,56;100,70;102,22;100,63;100,22;100,21;100,44;100,33;100,78;101,17
март;100,64;101,86;101,08;101,05;100,75;101,34;100,82;100,59;101,20;101,31;100,63;100,62;100,58;100,34;101,02;101,21;100,46;100,13;100,29;100,32;100,55;100,66;107,61
апрель;100,89;101,79;101,16;101,02;100,99;101,12;100,35;100,57;101,42;100,69;100,29;100,43;100,31;100,51;100,90;100,46;100,44;100,33;100,38;100,29;100,83;100,58;101,56
май;101,75;101,78;101,69;100,80;100,74;100,80;100,48;100,63;101,35;100,57;100,50;100,48;100,52;100,66;100,90;100,35;100,41;100,37;100,38;100,34;100,27;100,74;100,12
июнь;102,55;101,62;100,53;100,80;100,78;100,64;100,28;100,95;100,97;100,60;100,39;100,23;100,89;100,42;100,62;100,19;100,36;100,61;100,49;100,04;100,22;100,69;99,65
июль;101,79;100,45;100,72;100,71;100,92;100,46;100,67;100,87;100,51;100,63;100,36;99,99;101,23;100,82;100,49;100,80;100,54;100,07;100,27;100,20;100,35;100,31;99,61
август;100,98;100,01;100,09;99,59;100,42;99,86;100,19;100,09;100,36;100,00;100,55;99,76;100,10;100,14;100,24;100,35;100,01;99,46;100,01;99,76;99,96;100,17;99,48
сент€брь;101,32;100,60;100,40;100,34;100,43;100,25;100,09;100,79;100,80;99,97;100,84;99,96;100,55;100,21;100,65;100,57;100,17;99,85;100,16;99,84;99,93;100,60;100,05
окт€брь;102,11;101,09;101,07;101,00;101,14;100,55;100,28;101,64;100,91;100,00;100,50;100,48;100,46;100,57;100,82;100,74;100,43;100,20;100,35;100,13;100,43;101,11;100,18
но€брь;101,52;101,36;101,61;100,96;101,11;100,74;100,63;101,23;100,83;100,29;100,81;100,42;100,34;100,56;101,28;100,75;100,44;100,22;100,50;100,28;100,71;100,96;100,37
декабрь;101,64;101,60;101,54;101,10;101,14;100,82;100,79;101,13;100,69;100,41;101,08;100,44;100,54;100,51;102,62;100,77;100,40;100,42;100,84;100,36;100,83;100,82;100,78
